textId,index,content
i_438b0a9549f0,208,{先日|せんじつ}の{話|はなし}では、「{金|きん}{星|せい}」は{特|とく}に{若者|わかもの}に{人|にん}{気|き}がある、ということでしたが…。
i_368e0b9b54ae,208,ええ、[その{通|とお}りです‖i_1fc2698e7733]。
i_39f89f2ab599,208,それで{考|かんが}えたんですが、{中|ちゅう}{国|ごく}でも「{金|きん}{星|せい}」の[キャンペーン‖i_006042efb834]の[ターゲット‖i_e8ef9841b078]を{都市部|としぶ}に{住|す}む{若者|わかもの}に[{絞|しぼ}って‖i_408c80d70641]はどうでしょう。
i_bf0fc443b38a,208,うん。それはいいかもしれませんね。
i_b50f4b7391d9,208,{更|さら}に、[キャンペーン‖i_006042efb834]では、{CM|シーエム}、ホームページ、イベントの{3|みっ}つに{力|ちから}を[{入|い}れ‖i_409c80d70641]たいと{思|おも}います。
i_24fc535fa643,208,[ほう‖i_e2c782c32af2]、{CM|シーエム}とホームページは{分|わ}かりますが、イベントというのはどんなものですか。
i_1aba000668a4,208,「{創作|そうさく}{中華料理|ちゅうかりょうり}コンテスト」と「{金|きん}{星|せい}」[{試飲会|しいんかい}‖i_e367c0e454ae]などを{考|かんが}えています。イベントは、ホテル、レストランなどで{行|おこな}います。{詳|くわ}しい{内容|ないよう}については、{企画書|きかくしょ}をご{覧|らん}ください。……
i_52cde496e5c3,208,それから、ホームページの{件|けん}ですが、「『{金|きん}{星|せい}』の{故|こ}{郷|きょう}を[{探|さぐ}る‖i_82dba6479010]」という[コーナー‖i_62c9f131b583]を{設|もう}けてはどうでしょうか。
i_3c5e5705b641,208,「『{金|きん}{星|せい}』の{故|こ}{郷|きょう}を[{探|さぐ}る‖i_82dba6479010]」ですか。
i_a4c78f7aab1a,208,はい。{商|しょう}{品|ひん}の[{PR|ピーアール}‖i_de6cde2e3fc3]だけじゃなくて、{日|に}{本|ほん}の{文化|ぶんか}を{紹介|しょうかい}する[コーナー‖i_62c9f131b583]を{作|つく}ってはどうかと{考|かんが}えています。{日|に}{本|ほん}の{食|た}べものとか{若者|わかもの}の{意識|いしき}とかを{紹介|しょうかい}するのも{面白|おもしろ}いと{思|おも}うんですが。
i_0c7f94645616,208,なるほど、いいですね…。では、{王|おう}さん、[{取材|しゅざい}‖i_2166dcba0318]に{行|い}ってみませんか。
i_d58436cdf123,208,えっ、{私|わたし}がですか？
i_4a05f5c0b238,208,ええ。{日|に}{本|ほん}{人|じん}でも、もちろん[そのような‖i_ef83cbf6249d]{記事|きじ}は{書|か}けます。でも、{中|ちゅう}{国|ごく}{人|じん}の{目|め}から{日|に}{本|ほん}を[{取材|しゅざい}‖i_2166dcba0318]したほうが、{面白|おもしろ}い{記事|きじ}になると{思|おも}うんです。
i_5f8649286d77,208,{分|わ}かりました。では、まず{会社|かいしゃ}に{帰|かえ}って、{上司|じょうし}と{相談|そうだん}させてください。
i_dce759924bb6,208,[カップラーメン‖i_238a6718888b]は、お{湯|ゆ}を[{注|そそ}いで‖i_243c22e35d99]3{分|ぷん}{待|ま}つだけで、どこでも{手軽|てがる}に{食|た}べられる。
i_702b2119dcd5,208,{現在|げんざい}、{世界中|せかいじゅう}で{愛|あい}されている[カップラーメン‖i_238a6718888b]を{開発|かいはつ}したのは、[{日清食品|にっしんしょくひん}‖i_38cac892791a]の[{創業者|そうぎょうしゃ}‖i_fb376d051f1f]、[{安藤百福|あんどうももふく}‖i_6393290ce80c]だ。1958{年|ねん}に[インスタントラーメン‖i_eaf2428ea410]を{開発|かいはつ}した{安藤|あんどう}は、[{既|すで}に‖i_9e8fe66487e3]この{時期|じき}、『[インスタントラーメン‖i_eaf2428ea410]の{国際化|こくさいか}』という{夢|ゆめ}を{持|も}っていた。
i_73d232b7c122,208,ある{年|とし}、{安藤|あんどう}は[キャンペーン‖i_006042efb834]のためにアメリカを{訪|おとず}れ、[インスタントラーメン‖i_eaf2428ea410]を[{試食|ししょく}して‖i_91b62da0405c]もらった。[すると‖i_108ccd3374b9]、{相手|あいて}は[{丼|どんぶり}‖i_168acb359e24]を{使|つか}う[{代|か}わり‖i_ffdcbc908b87]に[{紙|かみ}コップ‖i_6253d98f62c9]を{使|つか}い、その{中|なか}に[{砕|くだ}いた‖i_93745204dda9][インスタントラーメン‖i_eaf2428ea410]を{入|い}れ、お{湯|ゆ}を[{注|そそ}いで‖i_243c22e35d99]、フォークで{食|た}べ{始|はじ}めた。
i_5eceb417fe94,208,{安藤|あんどう}はこれに{驚|おどろ}き、「フォークの{文化圏|ぶんかけん}では、[インスタントラーメン‖i_eaf2428ea410]もフォークで{食|た}べられるようにしなければいけない」「[{丼|どんぶり}‖i_168acb359e24]に[{代|か}わる‖i_8382dd419c38]{新|あたら}しい{容器|ようき}が{必要|ひつよう}だ」と{考|かんが}えた。そして、{新|あたら}しい{味|あじ}を[{丼|どんぶり}‖i_168acb359e24]ではない{新|あたら}しい{容器|ようき}で[{販|はん}{売|ばい}し‖i_67c37a321948]、フォークで{食|た}べられるようにすれば、[インスタントラーメン‖i_eaf2428ea410]は{国際{商|しょう}{品|ひん}|こくさいしょうひん}になると[{確信|かくしん}した‖i_20da768a6e63]。
i_82ad56a884e1,208,しかし、{開発|かいはつ}は{簡単|かんたん}ではなかった。{容器|ようき}の{材料|ざいりょう}は、ガラス、{紙|かみ}、プラスチック、{金属|きんぞく}と、{当時|とうじ}{考|かんが}えられるだけのものが{集|あつ}められた。{様|さま}{々|ざま}な[{工夫|くふう}‖i_098008804094]の[{末|すえ}‖i_5d8158cae686]、「{発泡|はっぽう}スチロール」が[{採用|さいよう}された‖i_81cc96272bac]。{容器|ようき}の{形|かたち}についても{試作|しさく}が{繰|く}り{返|かえ}された。{片手|かたて}で{持|も}てて、{手|て}から[{滑|すべ}り{落|お}ちない‖i_2d4b07a9141d]{形|かたち}を{理想|りそう}として、{現在|げんざい}の{形|かたち}が{生|う}まれた。
